Day	Temp	Color	
1-Jan	31		
2-Jan	32		
3-Jan	36		
4-Jan	33		
5-Jan	33		
6-Jan	37		
7-Jan	34		
8-Jan	32		
9-Jan	39		
10-Jan	33		
11-Jan	31		
12-Jan	30		
13-Jan	45		
14-Jan	44		
15-Jan	37		
16-Jan	32		
17-Jan	36		
18-Jan	34		
19-Jan	32		
20-Jan	29		
21-Jan	41		
22-Jan	37		
23-Jan	29		
24-Jan	26		
25-Jan	31		
26-Jan	32		
27-Jan	29		
28-Jan	22		
29-Jan	27		
30-Jan	29		
31-Jan	30		
White			
1-Feb	31		
2-Feb	33		
3-Feb	36		
4-Feb	34		
5-Feb	33		
6-Feb	22		
7-Feb	16		
8-Feb	19		
9-Feb	24		
10-Feb	20		
11-Feb	26		
12-Feb	27		
13-Feb	23		
14-Feb	26		
15-Feb	16		
16-Feb	19		
17-Feb	21		
18-Feb	25		
19-Feb	25		
20-Feb	30		
21-Feb	32		
22-Feb	36		
23-Feb	47		
24-Feb	52		
25-Feb	42		
26-Feb	40		
27-Feb	50		
28-Feb	59		
White			
1-Mar	40		
2-Mar	37		
3-Mar	57		
4-Mar	35		
5-Mar	41		
6-Mar	40		
7-Mar	40		
8-Mar	65		
9-Mar	55		
10-Mar	70		
11-Mar	70		
12-Mar	57		
13-Mar	53		
14-Mar	50		
15-Mar	36		
16-Mar	54		
17-Mar	57		
18-Mar	43		
19-Mar	46		
20-Mar	54		
21-Mar	62		
22-Mar	70		
23-Mar	66		
24-Mar	71		
25-Mar	64		
26-Mar	56		
27-Mar	57		
28-Mar	50		
29-Mar	51		
30-Mar	70		
31-Mar	56		
White			
1-Apr	35		
2-Apr	46		
3-Apr	64		
4-Apr	67		
5-Apr	58		
6-Apr	78		
7-Apr	80		
8-Apr	75		
9-Apr	73		
10-Apr	73		
11-Apr	58		
12-Apr	62		
13-Apr	65		
14-Apr	56		
15-Apr	49		
16-Apr	54		
17-Apr	57		
18-Apr	61		
19-Apr	64		
20-Apr	41		
21-Apr	42		
22-Apr	49		
23-Apr	62		
24-Apr	57		
25-Apr	54		
26-Apr	55		
27-Apr	83		
28-Apr	79		
29-Apr	56		
30-Apr	56		
White			
1-May	67		
2-May	82		
3-May	68		
4-May	63		
5-May	55		
6-May	55		
7-May	55		
8-May	58		
9-May	47		
10-May	56		
11-May	55		
12-May	64		
13-May	68		
14-May	71		
15-May	73		
16-May	69		
17-May	74		
18-May	76		
19-May	82		
20-May	86		
21-May	87		
22-May	86		
23-May	87		
24-May	76		
25-May	87		
26-May	76		
27-May	70		
28-May	50		
29-May	63		
30-May	69		
31-May	72		
White			
1-Jun			
2-Jun			
3-Jun			
4-Jun			
5-Jun			
6-Jun			
7-Jun			
8-Jun			
9-Jun			
10-Jun			
11-Jun			
12-Jun			
13-Jun			
14-Jun			
15-Jun			
16-Jun			
17-Jun			
18-Jun			
19-Jun			
20-Jun			
21-Jun			
22-Jun			
23-Jun			
24-Jun			
25-Jun			
26-Jun			
27-Jun			
28-Jun			
29-Jun			
30-Jun			
White			
1-Jul			
2-Jul			
3-Jul			
4-Jul			
5-Jul			
6-Jul			
7-Jul			
8-Jul			
9-Jul			
10-Jul			
11-Jul			
12-Jul			
13-Jul			
14-Jul			
15-Jul			
16-Jul			
17-Jul			
18-Jul			
19-Jul			
20-Jul			
21-Jul			
22-Jul			
23-Jul			
24-Jul			
25-Jul			
26-Jul			
27-Jul			
28-Jul			
29-Jul			
30-Jul			
31-Jul			
White			
1-Aug			
2-Aug			
3-Aug			
4-Aug			
5-Aug			
6-Aug			
7-Aug			
8-Aug			
9-Aug			
10-Aug			
11-Aug			
12-Aug			
13-Aug			
14-Aug			
			
			
			
			
