Day	Temp
	500
14-Aug	86
15-Aug	87
16-Aug	83
17-Aug	80
18-Aug	78
19-Aug	76
20-Aug	82
21-Aug	87
22-Aug	90
23-Aug	89
24-Aug	91
25-Aug	86
26-Aug	87
27-Aug	91
28-Aug	88
29-Aug	78
30-Aug	75
31-Aug	80
	500
1-Sep	84
2-Sep	80
3-Sep	84
4-Sep	79
5-Sep	78
6-Sep	75
7-Sep	81
8-Sep	76
9-Sep	68
10-Sep	67
11-Sep	68
12-Sep	80
13-Sep	76
14-Sep	71
15-Sep	71
16-Sep	78
17-Sep	73
18-Sep	64
19-Sep	64
20-Sep	68
21-Sep	72
22-Sep	77
23-Sep	79
24-Sep	77
25-Sep	80
26-Sep	82
27-Sep	76
28-Sep	72
29-Sep	63
30-Sep	63
White	500
1-Oct	61
2-Oct	56
3-Oct	56
4-Oct	54
5-Oct	60
6-Oct	69
7-Oct	72
8-Oct	70
9-Oct	79
10-Oct	75
11-Oct	70
12-Oct	70
13-Oct	68
14-Oct	62
15-Oct	63
16-Oct	56
17-Oct	56
18-Oct	62
19-Oct	53
20-Oct	53
21-Oct	58
22-Oct	58
23-Oct	77
24-Oct	63
25-Oct	46
26-Oct	45
27-Oct	43
28-Oct	54
29-Oct	51
30-Oct	44
31-Oct	51
White	500
1-Nov	48
2-Nov	47
3-Nov	62
4-Nov	71
5-Nov	65
6-Nov	73
7-Nov	72
8-Nov	75
9-Nov	78
10-Nov	78
11-Nov	73
12-Nov	51
13-Nov	46
14-Nov	40
15-Nov	53
16-Nov	46
17-Nov	39
18-Nov	43
19-Nov	65
20-Nov	66
21-Nov	56
22-Nov	37
23-Nov	44
24-Nov	39
25-Nov	46
26-Nov	50
27-Nov	44
28-Nov	48
29-Nov	49
30-Nov	41
White	500
1-Dec	33
2-Dec	45
3-Dec	48
4-Dec	48
5-Dec	37
6-Dec	31
7-Dec	33
8-Dec	37
9-Dec	42
10-Dec	49
11-Dec	52
12-Dec	54
13-Dec	45
14-Dec	34
15-Dec	30
16-Dec	29
17-Dec	30
18-Dec	31
19-Dec	36
20-Dec	37
21-Dec	37
22-Dec	39
23-Dec	51
24-Dec	50
25-Dec	23
26-Dec	26
27-Dec	35
28-Dec	42
29-Dec	30
30-Dec	41
31-Dec	36
White	500
1-Jan	31
2-Jan	32
3-Jan	36
4-Jan	33
5-Jan	33
6-Jan	37
7-Jan	34
8-Jan	32
9-Jan	39
10-Jan	33
11-Jan	31
12-Jan	30
13-Jan	45
14-Jan	44
15-Jan	37
16-Jan	32
17-Jan	36
18-Jan	34
19-Jan	32
20-Jan	29
21-Jan	41
22-Jan	37
23-Jan	29
24-Jan	26
25-Jan	31
26-Jan	32
27-Jan	29
28-Jan	22
29-Jan	27
30-Jan	29
31-Jan	30
	500
1-Feb	31
2-Feb	33
3-Feb	36
4-Feb	34
5-Feb	33
6-Feb	22
7-Feb	16
8-Feb	19
9-Feb	24
10-Feb	20
11-Feb	26
12-Feb	27
13-Feb	23
14-Feb	26
15-Feb	16
16-Feb	19
17-Feb	21
18-Feb	25
19-Feb	25
20-Feb	30
21-Feb	32
22-Feb	36
23-Feb	47
24-Feb	52
25-Feb	42
26-Feb	40
27-Feb	50
28-Feb	59
	500
1-Mar	40
2-Mar	37
3-Mar	57
4-Mar	35
5-Mar	41
6-Mar	40
7-Mar	40
8-Mar	65
9-Mar	55
10-Mar	70
11-Mar	70
12-Mar	57
13-Mar	53
14-Mar	50
15-Mar	36
16-Mar	54
17-Mar	57
18-Mar	43
19-Mar	46
20-Mar	54
21-Mar	62
22-Mar	70
23-Mar	66
24-Mar	71
25-Mar	64
26-Mar	56
27-Mar	57
28-Mar	50
29-Mar	51
30-Mar	70
31-Mar	56
	500
1-Apr	35
2-Apr	46
3-Apr	64
4-Apr	67
5-Apr	58
6-Apr	78
7-Apr	80
8-Apr	75
9-Apr	73
10-Apr	73
11-Apr	58
12-Apr	62
13-Apr	65
14-Apr	56
15-Apr	49
16-Apr	54
17-Apr	57
18-Apr	61
19-Apr	64
20-Apr	41
21-Apr	42
22-Apr	49
23-Apr	62
24-Apr	57
25-Apr	54
26-Apr	55
27-Apr	83
28-Apr	79
29-Apr	56
30-Apr	56
	500
1-May	67
2-May	82
3-May	68
4-May	63
5-May	55
6-May	55
7-May	55
8-May	58
9-May	47
10-May	56
11-May	55
12-May	64
13-May	68
14-May	71
15-May	73
16-May	69
17-May	74
18-May	76
19-May	82
20-May	86
21-May	87
22-May	86
23-May	87
24-May	76
25-May	87
26-May	76
27-May	70
28-May	50
29-May	63
30-May	69
31-May	72
	500
1-Jun	77
2-Jun	72
3-Jun	79
4-Jun	86
5-Jun	86
6-Jun	88
7-Jun	86
8-Jun	86
9-Jun	87
10-Jun	88
11-Jun	89
12-Jun	86
13-Jun	82
14-Jun	78
15-Jun	75
16-Jun	76
17-Jun	86
18-Jun	83
19-Jun	79
20-Jun	86
21-Jun	82
22-Jun	68
23-Jun	74
24-Jun	79
25-Jun	75
26-Jun	83
27-Jun	88
28-Jun	89
29-Jun	89
30-Jun	82
	500
1-Jul	80
2-Jul	76
3-Jul	81
4-Jul	89
5-Jul	89
6-Jul	90
7-Jul	87
8-Jul	82
9-Jul	78
10-Jul	78
11-Jul	74
12-Jul	71
13-Jul	82
14-Jul	83
15-Jul	84
16-Jul	79
17-Jul	80
18-Jul	83
19-Jul	84
20-Jul	84
21-Jul	81
22-Jul	79
23-Jul	76
24-Jul	84
25-Jul	87
26-Jul	88
27-Jul	85
